,NAME,2017 Pop,2017 Birth to Unmarried Women,High School Graduate(%),Unemployment(%),Percent Under the Poverty lavel,Mean Income,Sex Ratio(per hundred female),Mean Age
1,Ocea,589699,22.2,34.3,6.7,10.9,86433,92.9,42.9
2,Atlantic,272926,44.1,33.0,10.9,15.3,78395,93.9,41.1
3,Glouc,291372,29.2,33.8,7.4,7.9,98029,94.5,39.9
4,Middlesex,837288,23.8,25.8,6.4,8.6,104526,96.9,38.1
5,Salem,63776,48.7,38.0,8.0,14.2,81352,95.2,41.9
6,Passaic,510563,33.5,34.6,6.0,17.0,86232,94.7,36.7
7,Cape Ma,94549,12.4,33.0,8.4,10.6,85182,95.4,48.7
8,Camd,510996,44.8,30.7,7.9,13.1,86179,93.5,38.5
9,Berg,937920,18.6,23.9,5.2,7.2,126475,93.9,41.6
10,Uni,557320,33.7,29.2,7.4,10.3,108110,95.1,38.3
11,Wa,107088,34.6,31.5,7.4,8.2,94806,95.2,43.5
12,Hud,679756,25.7,26.2,7.1,17.1,92630,98.5,34.9
13,Hunterd,125717,21.6,21.7,4.4,4.5,143633,100.1,45.9
14,Burling,449192,31.3,28.9,6.9,6.4,104955,96.8,41.4
15,Morri,498847,12.2,21.1,5.2,4.6,145273,96.1,42.3
16,Monmouth,627551,30.1,24.7,6.0,7.6,123664,94.7,42.8
17,Merc,373362,36.3,24.6,7.5,11.3,111137,95.8,38.6
18,Sussex,143570,20.9,31.4,6.4,5.3,108722,99.1,44.1
19,Essex,800401,40.7,28.4,10.4,16.7,95235,92.5,37.3
20,Cumberland,154952,50.6,39.2,9.0,18.8,65539,105.5,36.8
21,Som,333316,15.4,21.1,4.9,4.8,144629,95.4,41.3
