,2017 Pop,2017 Unmarried Women,High School Graduate,Unemployment,Percent Under the Poverty lavel,Mean Income,Sex Ratio,Mean Age,zip code tabulation area
1,836,40.0,25.4,7.1,17.8,66682,111.1,51.2,01379
2,20496,55.0,37.4,5.8,16.7,62384,99.1,40.6,01440
3,4524,36.8,15.6,2.9,4.1,119858,99.7,42.7,01505
4,6702,0.0,29.4,4.4,7.0,86771,90.5,45.4,01524
5,3237,39.5,31.6,4.4,4.4,104300,90.6,41.8,01529
6,7639,0.0,30.9,4.8,8.3,100363,162.6,39.4,01583
7,9864,0.0,29.9,4.6,8.5,84802,90.5,38.1,01588
8,20714,36.0,19.9,7.7,25.6,77570,101.4,30.5,01609
9,17478,13.1,17.8,3.5,3.2,136132,94.8,41.7,01721
10,2012,0.0,8.1,7.9,1.0,98165,101.0,23.0,01731
11,5167,17.2,13.2,3.3,1.4,164477,96.7,42.7,01740
12,5160,0.0,5.2,4.5,1.6,252373,99.4,50.0,01741
13,4302,0.0,7.6,2.3,4.2,221325,90.2,45.0,01770
14,4791,0.0,3.6,1.4,3.4,245881,91.4,53.7,01773
15,7061,21.6,13.0,3.5,4.4,157304,84.5,44.1,01775
16,32348,26.4,32.6,4.7,4.0,110998,98.5,40.7,01821
17,25942,63.3,29.4,9.6,19.7,59554,94.3,31.1,01843
18,9106,4.7,24.5,4.9,4.8,102208,84.4,44.2,01863
19,15598,11.5,23.1,3.4,3.4,147682,100.3,44.3,01864
20,30433,22.2,32.0,4.6,5.4,107527,93.1,44.4,01876
21,26450,7.1,22.1,4.6,4.3,112430,93.2,43.8,01880
22,28037,26.3,36.1,7.4,8.1,96266,92.9,45.7,01906
23,27391,38.5,24.2,4.4,5.9,99109,92.1,45.0,01923
24,3687,14.2,16.3,4.0,6.2,131697,87.9,46.3,01929
25,13425,0.0,20.5,7.5,2.2,143982,88.0,45.4,01940
26,16156,29.7,23.1,5.0,4.5,100964,86.1,45.9,01028
27,6300,56.7,29.8,4.4,5.2,102005,93.3,45.8,01033
28,772,-666666666.0,35.2,6.6,14.1,98300,156.5,46.1,01037
29,5014,0.0,36.3,5.3,6.3,95958,106.1,45.4,01005
30,17870,33.1,30.7,6.5,10.0,76759,91.8,44.9,01027
31,2897,0.0,36.3,1.3,3.9,85687,97.6,51.4,01038
32,1997,22.7,14.6,3.6,6.0,116108,106.7,50.9,01054
33,2409,57.1,14.3,13.3,55.5,35253,93.0,33.6,01103
34,183,-666666666.0,30.9,6.2,0.0,106546,92.6,53.6,01084
35,1133,100.0,31.1,6.8,15.2,82155,95.7,47.0,01092
36,11304,66.4,21.6,22.7,42.9,42935,105.8,28.8,01107
37,13236,0.0,29.9,10.1,17.1,58957,74.6,34.7,01119
38,1197,0.0,18.8,6.3,2.2,92254,85.6,42.2,01236
39,803,-666666666.0,20.5,3.0,9.2,95950,83.3,55.8,01245
40,977,0.0,15.9,4.4,7.3,139701,94.2,58.3,01254
41,1110,-666666666.0,29.7,4.5,13.5,72370,61.8,56.9,01262
42,170,-666666666.0,24.0,15.9,12.4,59179,91.0,59.6,01338
43,1316,77.3,38.8,5.7,10.4,81850,96.1,51.1,01368
44,41446,34.5,30.6,5.8,13.4,75305,88.6,40.2,01453
45,9754,0.0,18.4,5.8,3.8,138558,98.9,44.4,01460
46,11150,52.2,27.7,3.7,8.3,109817,94.3,44.1,01462
47,10738,0.0,35.6,6.0,11.2,78168,110.2,41.3,01475
48,6657,0.0,19.5,2.4,4.0,132062,103.8,43.5,01519
49,14918,40.0,18.6,4.3,3.7,146346,98.1,43.7,01532
50,6262,10.0,30.0,5.7,8.6,110860,88.9,44.3,01534
51,4760,41.4,41.0,5.0,6.3,82223,93.1,44.4,01535
52,4661,100.0,39.5,6.2,8.0,84849,101.3,46.7,01585
53,2334,0.0,33.4,1.7,7.1,76940,106.5,43.7,01050
54,28925,75.8,30.6,10.4,30.9,52337,92.8,31.7,01108
55,2798,0.0,33.0,6.3,2.0,86874,98.6,48.3,01128
56,2671,22.2,38.0,4.8,7.8,78696,112.0,49.6,01235
57,958,0.0,30.6,4.6,4.7,63905,91.6,49.5,01026
58,1247,62.5,29.0,6.0,8.3,104877,102.1,46.8,01531
59,19981,13.6,35.5,8.2,23.2,63797,100.3,37.0,01603
60,17537,0.0,28.3,4.6,9.3,74096,88.0,45.8,01001
61,8698,19.9,31.4,6.3,16.6,56251,100.6,36.2,01607
62,39226,36.8,28.3,5.8,17.0,72228,89.6,34.4,01702
63,35715,6.6,13.3,3.9,3.5,136355,98.6,40.4,01760
64,13850,1.4,5.9,1.0,3.0,213442,92.6,44.5,01778
65,23538,10.8,29.1,4.9,2.9,133893,97.6,42.3,01887
66,26524,49.3,30.1,7.1,13.4,81333,98.3,39.0,01830
67,34756,37.6,31.1,8.4,20.4,67861,99.3,36.9,01852
68,12305,13.4,25.5,4.5,7.0,120510,98.7,40.8,01879
69,8228,0.0,12.8,6.5,2.8,192799,95.3,45.9,01921
70,11601,78.1,31.4,17.1,53.5,33611,91.9,32.3,01105
71,44775,53.9,29.8,7.8,14.6,66779,90.1,44.0,01201
72,8359,8.6,28.3,4.2,5.5,89428,100.2,49.9,01230
73,5917,50.7,27.5,3.6,7.9,82742,89.8,46.5,01238
74,2138,52.9,34.3,4.3,10.4,95290,107.2,53.1,01257
75,605,0.0,28.5,1.4,18.2,74521,105.1,44.4,01367
76,6210,0.0,25.6,6.4,4.8,100483,96.0,41.1,01430
77,7703,0.0,29.7,4.2,12.2,95825,100.4,39.1,01432
78,3460,100.0,32.0,3.9,4.9,84568,88.1,43.3,01436
79,12049,31.5,25.9,5.5,5.6,111082,93.7,42.9,01463
80,4124,39.7,27.9,5.0,4.2,82209,100.2,47.2,01468
81,8745,72.6,32.1,2.7,4.1,103380,98.3,41.7,01516
82,7735,0.0,23.9,4.9,5.2,119085,132.5,38.4,01523
83,3438,26.7,13.1,4.4,6.5,159929,103.2,48.4,01541
84,4477,0.0,22.9,4.4,7.6,116603,97.5,38.1,01560
85,16926,39.3,35.1,9.3,12.0,70708,80.9,41.0,01570
86,3371,47.5,27.3,16.5,50.5,27784,73.6,27.6,01608
87,42991,33.2,24.6,5.6,15.3,80980,83.7,36.1,01970
88,4545,26.1,18.4,3.6,5.7,164693,100.1,46.2,01985
89,7184,0.0,20.9,5.5,6.2,97179,73.8,53.4,01966
90,501,-666666666.0,29.8,12.0,0.0,134930,40.7,35.0,01745
91,14480,0.0,12.3,4.8,1.4,148072,96.5,42.2,01746
92,10560,1.8,22.8,2.7,8.1,114034,101.5,43.6,01754
93,19843,9.8,25.9,3.4,5.9,100058,97.2,43.7,01749
94,3337,0.0,15.9,3.4,2.1,164085,92.9,45.5,01827
95,8569,0.0,21.3,4.4,3.4,124065,94.9,46.0,01833
96,49587,12.5,30.5,6.5,9.4,88978,94.4,39.1,01844
97,5327,0.0,16.8,4.8,3.7,162354,87.2,51.1,01944
98,30170,0.0,14.9,4.2,5.1,136687,97.4,39.9,01845
99,16890,50.5,46.5,8.3,25.4,58083,103.2,29.4,01850
100,41431,10.9,22.8,5.3,8.3,107530,88.8,40.9,01915
101,40362,47.2,29.2,10.2,28.6,56014,95.6,35.2,01040
102,1129,-666666666.0,13.3,6.9,7.5,104104,75.9,54.6,01039
103,25590,55.5,34.6,6.0,19.2,71858,105.1,33.6,01905
104,25961,6.6,19.6,3.9,3.2,133704,101.4,44.5,01824
