ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,County
NJ0010100,ABSECON CITY PD,8252,,,,,,,,Atlantic
,Number of Offenses,8252,1,1,5,10,16,159,6,Atlantic
,"Rate Per 100,000",8252,12.1,12.1,60.6,121.2,193.9,"1,926.8",72.7,Atlantic
,Number of Clearances,8252,1,0,0,7,4,30,1,Atlantic
,Percent Cleared,8252,100,0,0,70,25,19,17,Atlantic
,Number of Arrests,8252,1,0,0,9,8,35,0,Atlantic
NJ0010200,ATLANTIC CITY PD,38271,,,,,,,,Atlantic
,Number of Offenses,38271,7,11,131,127,116,994,71,Atlantic
,"Rate Per 100,000",38271,18.3,28.7,342.3,331.8,303.1,"2,597.3",185.5,Atlantic
,Number of Clearances,38271,6,3,9,16,3,63,1,Atlantic
,Percent Cleared,38271,86,27,7,13,3,6,1,Atlantic
,Number of Arrests,38271,4,5,23,42,12,161,2,Atlantic
NJ0010000,ATLANTIC CO SHERIFF'S  OFFICE,0,,,,,,,,Atlantic
,Number of Offenses,0,0,0,0,0,0,0,0,Atlantic
,"Rate Per 100,000",0,0,0,0,0,0,0,0,Atlantic
,Number of Clearances,0,0,0,0,0,0,0,0,Atlantic
,Percent Cleared,0,0,0,0,0,0,0,0,Atlantic
,Number of Arrests,0,0,0,0,0,0,0,0,Atlantic
NJ0018900,ATLANTIC COUNTY PROSECUTOR'S OFFICE,0,,,,,,,,Atlantic
,Number of Offenses,0,0,0,0,0,0,0,0,Atlantic
,"Rate Per 100,000",0,0,0,0,0,0,0,0,Atlantic
,Number of Clearances,0,0,0,0,0,0,0,0,Atlantic
,Percent Cleared,0,0,0,0,0,0,0,0,Atlantic
,Number of Arrests,0,0,0,0,0,0,0,0,Atlantic
NJ0010300,BRIGANTINE PD,8896,,,,,,,,Atlantic
,Number of Offenses,8896,0,0,0,1,23,105,1,Atlantic
,"Rate Per 100,000",8896,0,0,0,11.2,258.5,"1,180.3",11.2,Atlantic
,Number of Clearances,8896,0,0,0,1,4,16,0,Atlantic
,Percent Cleared,8896,0,0,0,100,17,15,0,Atlantic
,Number of Arrests,8896,0,0,0,0,3,14,0,Atlantic
NJ0010400,BUENA PD,4405,,,,,,,,Atlantic
,Number of Offenses,4405,0,0,1,4,13,58,1,Atlantic
,"Rate Per 100,000",4405,0,0,22.7,90.8,295.1,"1,316.7",22.7,Atlantic
,Number of Clearances,4405,0,0,0,2,2,5,0,Atlantic
,Percent Cleared,4405,0,0,0,50,15,9,0,Atlantic
,Number of Arrests,4405,0,0,0,4,1,6,0,Atlantic
NJ0010700,EGG HARBOR CITY PD,4162,,,,,,,,Atlantic
,Number of Offenses,4162,0,0,4,5,35,85,2,Atlantic
,"Rate Per 100,000",4162,0,0,96.1,120.1,840.9,"2,042.3",48.1,Atlantic
,Number of Clearances,4162,0,0,0,4,1,22,1,Atlantic
,Percent Cleared,4162,0,0,0,80,3,26,50,Atlantic
,Number of Arrests,4162,0,0,0,5,1,21,0,Atlantic
NJ0010800,EGG HARBOR TWP PD,43276,,,,,,,,Atlantic
,Number of Offenses,43276,1,4,10,47,114,765,23,Atlantic
