OBJECTID,COUNTY,COUNTY_LABEL,CO,GNIS_NAME,GNIS,FIPSSTCO,FIPSCO,ACRES,SQ_MILES,POP2010,POP2000,POP1990,POP1980,POPDEN2010,POPDEN2000,POPDEN1990,POPDEN1980,REGION,GLOBALID,Shape_Length,Shape_Area
1,ATLANTIC,Atlantic County,ATL,County of Atlantic,882270,34001,1,390815.4042,610.6490692,274549,252552,275372,204615,450,414,451,335,COASTAL,{FF3231FE-B82C-4DCB-A36E-199C86B99D48},650228.1539,17023850912
2,BERGEN,Bergen County,BER,County of Bergen,882271,34003,3,153490.2752,239.828555,905116,884118,829592,849843,3774,3686,3459,3544,NORTHEASTERN,{08D52232-487C-40B1-AF3A-94DE390C8BDD},443326.122,6686009643
3,BURLINGTON,Burlington County,BUR,County of Burlington,882272,34005,5,525002.6836,820.3166932,448734,423394,395066,362542,547,516,482,442,SOUTHERN,{5DB6BAA6-5945-4004-8837-ECE826970808},788906.7175,22869025418
4,CAMDEN,Camden County,CAM,County of Camden,882273,34007,7,145650.5078,227.5789185,513657,508932,532498,471650,2257,2236,2340,2073,SOUTHERN,{944EE24D-97B4-4666-9963-FC6BAE3D9334},495010.0349,6344510742
5,CAPE MAY,Cape May County,CAP,County of Cape May,882274,34009,9,183126.5742,286.1352723,97265,102326,95089,82266,340,358,332,288,COASTAL,{72F314BF-ED7C-4C51-A7A0-E841972BC422},514564.8588,7976961666
6,CUMBERLAND,Cumberland County,CUM,County of Cumberland,882275,34011,11,321150.3216,501.7973775,156898,146438,138053,132866,313,292,275,265,SOUTHERN,{13FDB672-69ED-42E9-8E91-F67CC28C23A2},704221.6186,13989252050
7,ESSEX,Essex County,ESS,County of Essex,882276,34013,13,83034.85949,129.741968,783969,793633,748281,850451,6044,6118,5768,6556,NORTHEASTERN,{AB3681F6-C903-422F-BAA8-F8C8C100572A},344556.5577,3616984011
8,GLOUCESTER,Gloucester County,GLO,County of Gloucester,882277,34015,15,215166.8931,336.1982705,288288,254673,230082,199917,857,758,684,595,SOUTHERN,{7C6232C0-19D0-425D-B1B9-8AD48FFB43DA},560703.5675,9372632371
9,HUDSON,Hudson County,HUD,County of Hudson,882278,34017,17,32982.40079,51.53500125,634266,608975,553099,556972,12309,11817,10733,10808,NORTHEASTERN,{9149E983-8BE6-4812-BE3B-A0B08BF77930},381357.9901,1436707632
10,HUNTERDON,Hunterdon County,HUN,County of Hunterdon,882228,34019,19,279885.2064,437.320635,128349,121989,107776,87361,293,279,246,200,CENTRAL,{1CFAE3C0-8842-4929-A689-A720BA8E41DE},561760.9294,12191750821
11,MERCER,Mercer County,MER,County of Mercer,882229,34021,21,146431.8644,228.7997881,366513,350761,325824,307863,1602,1533,1424,1346,CENTRAL,{F59905CB-4109-4749-9EC6-0AEE1D132FE8},484095.3765,6378546499
12,MONMOUTH,Monmouth County,MON,County of Monmouth,882910,34025,25,310834.2649,485.6785389,630380,615301,638345,582982,1298,1267,1314,1200,COASTAL,{A24CA8D5-C418-4F6D-A5E8-E8C1FEFC84C0},733254.7956,13539886418
13,OCEAN,Ocean County,OCE,County of Ocean,882279,34029,29,485078.4408,757.9350639,576567,510916,443424,356502,761,674,585,470,COASTAL,{04308730-5D23-4B9C-9B2B-0706F0F531A7},722804.1657,21129932363
14,PASSAIC,Passaic County,PAS,County of Passaic,882232,34031,31,126926.846,198.323197,501226,489049,453060,447585,2527,2466,2284,2257,NORTHEASTERN,{14791E4C-E94E-4C39-B524-2203DE737D5B},492851.3197,5528911298
15,SALEM,Salem County,SAL,County of Salem,882233,34033,33,222158.656,347.1229001,66083,64285,65294,64676,190,185,188,186,SOUTHERN,{5A652828-CE41-4523-835F-5F0466D102E1},664545.3386,9677192349
16,SOMERSET,Somerset County,SOM,County of Somerset,882234,34035,35,195127.3632,304.886505,323444,297490,240279,203129,1061,976,788,666,CENTRAL,{17F46504-1C2C-4A3D-A202-E52072DCC14E},541587.5072,8499713941
17,SUSSEX,Sussex County,SUS,County of Sussex,882236,34037,37,342730.8537,535.5169589,149265,144166,138991,123621,279,269,260,231,NORTHWESTERN,{1E08EFDC-85FB-48CA-AAC1-1E5ECF12DC9D},525994.4311,14929296270
18,UNION,Union County,UNI,County of Union,882235,34039,39,67438.59259,105.3728009,536499,522541,493819,504094,5091,4959,4686,4784,NORTHEASTERN,{6E2F6E6F-CE6B-42FB-81ED-826425F2E041},321814.3985,2937613343
19,WARREN,Warren County,WAR,County of Warren,882237,34041,41,232061.359,362.5958735,108692,102437,91607,84429,300,283,253,233,NORTHWESTERN,{5235342D-ACF0-4FCD-B7AC-02ACFC92CECA},554871.6788,10108552362
20,MORRIS,Morris County,MOR,County of Morris,882231,34027,27,308084.4295,481.3819212,492276,470212,421353,407630,1023,977,875,847,NORTHEASTERN,{7F9FBDBD-31D8-4C51-A67C-7DAEE9B77C91},750263.5247,13420104070
21,MIDDLESEX,Middlesex County,MID,County of Middlesex,882230,34023,23,202859.5615,316.9680649,809858,750162,671780,595893,2555,2367,2119,1880,CENTRAL,{5C68A123-123A-4DD3-BCC6-23A4D18BC5B2},505626.8216,8836527154
