Year,Month,State,County,Rate
2015,February,New Jersey,Hudson County,6.1
2015,February,New Jersey,Salem County,8.8
2015,February,New Jersey,Gloucester County,7.2
2015,February,New Jersey,Burlington County,6.3
2015,February,New Jersey,Cumberland County,11.0
2015,February,New Jersey,Union County,7.0
2015,February,New Jersey,Hunterdon County,5.0
2015,February,New Jersey,Sussex County,6.8
2015,February,New Jersey,Passaic County,8.3
2015,February,New Jersey,Essex County,7.9
2015,February,New Jersey,Middlesex County,5.9
2015,February,New Jersey,Atlantic County,12.4
2015,February,New Jersey,Bergen County,5.3
2015,February,New Jersey,Somerset County,5.2
2015,February,New Jersey,Monmouth County,6.1
2015,February,New Jersey,Ocean County,7.7
2015,February,New Jersey,Mercer County,5.6
2015,February,New Jersey,Morris County,5.0
2015,February,New Jersey,Warren County,6.6
2015,February,New Jersey,Camden County,7.5
2015,February,New Jersey,Cape May County,18.4
2015,October,New Jersey,Hudson County,4.6
2015,October,New Jersey,Salem County,5.7
2015,October,New Jersey,Gloucester County,5.0
2015,October,New Jersey,Burlington County,4.4
2015,October,New Jersey,Cumberland County,7.0
2015,October,New Jersey,Union County,5.0
2015,October,New Jersey,Hunterdon County,3.5
2015,October,New Jersey,Sussex County,4.3
2015,October,New Jersey,Passaic County,5.8
2015,October,New Jersey,Essex County,5.8
2015,October,New Jersey,Middlesex County,4.3
2015,October,New Jersey,Atlantic County,7.6
2015,October,New Jersey,Bergen County,4.0
2015,October,New Jersey,Somerset County,3.9
2015,October,New Jersey,Monmouth County,4.3
2015,October,New Jersey,Ocean County,5.0
2015,October,New Jersey,Mercer County,4.1
2015,October,New Jersey,Morris County,3.7
2015,October,New Jersey,Warren County,4.3
2015,October,New Jersey,Camden County,5.4
2015,October,New Jersey,Cape May County,8.4
2015,March,New Jersey,Hudson County,5.8
2015,March,New Jersey,Salem County,8.2
2015,March,New Jersey,Gloucester County,6.8
2015,March,New Jersey,Burlington County,5.9
2015,March,New Jersey,Cumberland County,10.3
2015,March,New Jersey,Union County,6.7
2015,March,New Jersey,Hunterdon County,4.7
2015,March,New Jersey,Sussex County,6.4
2015,March,New Jersey,Passaic County,7.9
2015,March,New Jersey,Essex County,7.5
2015,March,New Jersey,Middlesex County,5.6
2015,March,New Jersey,Atlantic County,11.6
2015,March,New Jersey,Bergen County,5.1
2015,March,New Jersey,Somerset County,5.0
2015,March,New Jersey,Monmouth County,5.8
2015,March,New Jersey,Ocean County,7.2
2015,March,New Jersey,Mercer County,5.4
2015,March,New Jersey,Morris County,4.8
2015,March,New Jersey,Warren County,6.3
2015,March,New Jersey,Camden County,7.2
2015,March,New Jersey,Cape May County,16.8
2015,August,New Jersey,Hudson County,5.1
2015,August,New Jersey,Salem County,6.7
2015,August,New Jersey,Gloucester County,5.6
2015,August,New Jersey,Burlington County,5.1
2015,August,New Jersey,Cumberland County,8.3
2015,August,New Jersey,Union County,5.6
2015,August,New Jersey,Hunterdon County,3.8
2015,August,New Jersey,Sussex County,4.8
2015,August,New Jersey,Passaic County,6.7
2015,August,New Jersey,Essex County,6.5
2015,August,New Jersey,Middlesex County,4.8
2015,August,New Jersey,Atlantic County,8.0
2015,August,New Jersey,Bergen County,4.5
2015,August,New Jersey,Somerset County,4.2
2015,August,New Jersey,Monmouth County,4.6
2015,August,New Jersey,Ocean County,5.4
2015,August,New Jersey,Mercer County,4.8
2015,August,New Jersey,Morris County,4.1
2015,August,New Jersey,Warren County,4.9
2015,August,New Jersey,Camden County,6.0
2015,August,New Jersey,Cape May County,6.0
2015,May,New Jersey,Hudson County,5.5
2015,May,New Jersey,Salem County,7.2
2015,May,New Jersey,Gloucester County,6.1
2015,May,New Jersey,Burlington County,5.4
2015,May,New Jersey,Cumberland County,8.5
2015,May,New Jersey,Union County,6.0
2015,May,New Jersey,Hunterdon County,4.2
2015,May,New Jersey,Sussex County,5.3
2015,May,New Jersey,Passaic County,7.0
2015,May,New Jersey,Essex County,6.9
2015,May,New Jersey,Middlesex County,5.2
2015,May,New Jersey,Atlantic County,9.6
2015,May,New Jersey,Bergen County,4.7
2015,May,New Jersey,Somerset County,4.6
2015,May,New Jersey,Monmouth County,5.1
2015,May,New Jersey,Ocean County,6.1
2015,May,New Jersey,Mercer County,5.0
2015,May,New Jersey,Morris County,4.4
2015,May,New Jersey,Warren County,5.2
2015,May,New Jersey,Camden County,6.5
2015,May,New Jersey,Cape May County,9.8
2015,January,New Jersey,Hudson County,6.2
2015,January,New Jersey,Salem County,9.0
2015,January,New Jersey,Gloucester County,7.4
2015,January,New Jersey,Burlington County,6.4
2015,January,New Jersey,Cumberland County,11.1
2015,January,New Jersey,Union County,7.1
2015,January,New Jersey,Hunterdon County,5.1
2015,January,New Jersey,Sussex County,6.8
2015,January,New Jersey,Passaic County,8.4
2015,January,New Jersey,Essex County,8.0
2015,January,New Jersey,Middlesex County,6.0
2015,January,New Jersey,Atlantic County,12.7
2015,January,New Jersey,Bergen County,5.4
2015,January,New Jersey,Somerset County,5.3
2015,January,New Jersey,Monmouth County,6.2
2015,January,New Jersey,Ocean County,7.8
2015,January,New Jersey,Mercer County,5.9
2015,January,New Jersey,Morris County,5.1
2015,January,New Jersey,Warren County,6.7
2015,January,New Jersey,Camden County,7.7
2015,January,New Jersey,Cape May County,18.8
2015,June,New Jersey,Hudson County,5.4
2015,June,New Jersey,Salem County,7.1
2015,June,New Jersey,Gloucester County,6.0
2015,June,New Jersey,Burlington County,5.2
2015,June,New Jersey,Cumberland County,8.2
2015,June,New Jersey,Union County,5.9
2015,June,New Jersey,Hunterdon County,4.1
2015,June,New Jersey,Sussex County,5.1
2015,June,New Jersey,Passaic County,6.9
2015,June,New Jersey,Essex County,6.9
2015,June,New Jersey,Middlesex County,5.1
2015,June,New Jersey,Atlantic County,9.0
2015,June,New Jersey,Bergen County,4.6
2015,June,New Jersey,Somerset County,4.5
2015,June,New Jersey,Monmouth County,4.9
2015,June,New Jersey,Ocean County,5.8
2015,June,New Jersey,Mercer County,4.9
2015,June,New Jersey,Morris County,4.3
2015,June,New Jersey,Warren County,5.1
2015,June,New Jersey,Camden County,6.3
2015,June,New Jersey,Cape May County,7.8
2015,September,New Jersey,Hudson County,5.0
2015,September,New Jersey,Salem County,6.2
2015,September,New Jersey,Gloucester County,5.3
2015,September,New Jersey,Burlington County,4.7
2015,September,New Jersey,Cumberland County,7.4
2015,September,New Jersey,Union County,5.4
2015,September,New Jersey,Hunterdon County,3.7
2015,September,New Jersey,Sussex County,4.6
2015,September,New Jersey,Passaic County,6.2
2015,September,New Jersey,Essex County,6.3
2015,September,New Jersey,Middlesex County,4.6
2015,September,New Jersey,Atlantic County,7.7
2015,September,New Jersey,Bergen County,4.3
2015,September,New Jersey,Somerset County,4.1
2015,September,New Jersey,Monmouth County,4.5
2015,September,New Jersey,Ocean County,5.3
2015,September,New Jersey,Mercer County,4.5
2015,September,New Jersey,Morris County,3.9
2015,September,New Jersey,Warren County,4.5
2015,September,New Jersey,Camden County,5.7
2015,September,New Jersey,Cape May County,6.6
2015,April,New Jersey,Hudson County,5.4
2015,April,New Jersey,Salem County,7.2
2015,April,New Jersey,Gloucester County,6.0
2015,April,New Jersey,Burlington County,5.2
2015,April,New Jersey,Cumberland County,8.9
2015,April,New Jersey,Union County,6.0
2015,April,New Jersey,Hunterdon County,4.1
2015,April,New Jersey,Sussex County,5.4
2015,April,New Jersey,Passaic County,7.0
2015,April,New Jersey,Essex County,6.9
2015,April,New Jersey,Middlesex County,5.1
2015,April,New Jersey,Atlantic County,10.1
2015,April,New Jersey,Bergen County,4.6
2015,April,New Jersey,Somerset County,4.5
2015,April,New Jersey,Monmouth County,5.1
2015,April,New Jersey,Ocean County,6.2
2015,April,New Jersey,Mercer County,4.9
2015,April,New Jersey,Morris County,4.2
2015,April,New Jersey,Warren County,5.3
2015,April,New Jersey,Camden County,6.4
2015,April,New Jersey,Cape May County,12.7
2015,December,New Jersey,Hudson County,4.0
2015,December,New Jersey,Salem County,5.6
2015,December,New Jersey,Gloucester County,4.6
2015,December,New Jersey,Burlington County,3.9
2015,December,New Jersey,Cumberland County,7.1
2015,December,New Jersey,Union County,4.5
2015,December,New Jersey,Hunterdon County,3.2
2015,December,New Jersey,Sussex County,4.0
2015,December,New Jersey,Passaic County,5.3
2015,December,New Jersey,Essex County,5.2
2015,December,New Jersey,Middlesex County,3.8
2015,December,New Jersey,Atlantic County,7.4
2015,December,New Jersey,Bergen County,3.4
2015,December,New Jersey,Somerset County,3.4
2015,December,New Jersey,Monmouth County,3.8
2015,December,New Jersey,Ocean County,4.8
2015,December,New Jersey,Mercer County,3.6
2015,December,New Jersey,Morris County,3.2
2015,December,New Jersey,Warren County,4.1
2015,December,New Jersey,Camden County,4.9
2015,December,New Jersey,Cape May County,11.9
2015,July,New Jersey,Hudson County,5.8
2015,July,New Jersey,Salem County,7.5
2015,July,New Jersey,Gloucester County,6.4
2015,July,New Jersey,Burlington County,5.7
2015,July,New Jersey,Cumberland County,8.9
2015,July,New Jersey,Union County,6.3
2015,July,New Jersey,Hunterdon County,4.5
2015,July,New Jersey,Sussex County,5.5
2015,July,New Jersey,Passaic County,7.4
2015,July,New Jersey,Essex County,7.3
2015,July,New Jersey,Middlesex County,5.5
2015,July,New Jersey,Atlantic County,8.9
2015,July,New Jersey,Bergen County,5.1
2015,July,New Jersey,Somerset County,4.8
2015,July,New Jersey,Monmouth County,5.3
2015,July,New Jersey,Ocean County,6.1
2015,July,New Jersey,Mercer County,5.4
2015,July,New Jersey,Morris County,4.7
2015,July,New Jersey,Warren County,5.6
2015,July,New Jersey,Camden County,6.8
2015,July,New Jersey,Cape May County,6.8
2015,November,New Jersey,Hudson County,4.3
2015,November,New Jersey,Salem County,5.6
2015,November,New Jersey,Gloucester County,4.7
2015,November,New Jersey,Burlington County,4.1
2015,November,New Jersey,Cumberland County,7.0
2015,November,New Jersey,Union County,4.7
2015,November,New Jersey,Hunterdon County,3.3
2015,November,New Jersey,Sussex County,4.1
2015,November,New Jersey,Passaic County,5.5
2015,November,New Jersey,Essex County,5.5
2015,November,New Jersey,Middlesex County,4.0
2015,November,New Jersey,Atlantic County,7.4
2015,November,New Jersey,Bergen County,3.7
2015,November,New Jersey,Somerset County,3.6
2015,November,New Jersey,Monmouth County,4.0
2015,November,New Jersey,Ocean County,4.9
2015,November,New Jersey,Mercer County,3.8
2015,November,New Jersey,Morris County,3.4
2015,November,New Jersey,Warren County,4.1
2015,November,New Jersey,Camden County,5.1
2015,November,New Jersey,Cape May County,11.3
2014,February,New Jersey,Hudson County,7.0
2014,February,New Jersey,Salem County,10.0
2014,February,New Jersey,Gloucester County,8.4
2014,February,New Jersey,Burlington County,7.2
2014,February,New Jersey,Cumberland County,12.0
2014,February,New Jersey,Union County,7.8
2014,February,New Jersey,Hunterdon County,5.5
2014,February,New Jersey,Sussex County,7.6
2014,February,New Jersey,Passaic County,9.4
2014,February,New Jersey,Essex County,8.9
2014,February,New Jersey,Middlesex County,6.8
2014,February,New Jersey,Atlantic County,12.3
2014,February,New Jersey,Bergen County,6.0
2014,February,New Jersey,Somerset County,5.8
2014,February,New Jersey,Monmouth County,7.0
2014,February,New Jersey,Ocean County,8.9
2014,February,New Jersey,Mercer County,6.5
2014,February,New Jersey,Morris County,5.6
2014,February,New Jersey,Warren County,7.5
2014,February,New Jersey,Camden County,8.7
2014,February,New Jersey,Cape May County,19.0
2014,October,New Jersey,Hudson County,6.0
2014,October,New Jersey,Salem County,7.5
2014,October,New Jersey,Gloucester County,6.6
2014,October,New Jersey,Burlington County,6.0
2014,October,New Jersey,Cumberland County,8.7
2014,October,New Jersey,Union County,6.4
2014,October,New Jersey,Hunterdon County,4.6
2014,October,New Jersey,Sussex County,5.7
2014,October,New Jersey,Passaic County,7.4
2014,October,New Jersey,Essex County,7.5
2014,October,New Jersey,Middlesex County,5.6
2014,October,New Jersey,Atlantic County,10.5
2014,October,New Jersey,Bergen County,5.1
2014,October,New Jersey,Somerset County,4.9
2014,October,New Jersey,Monmouth County,5.6
2014,October,New Jersey,Ocean County,6.7
2014,October,New Jersey,Mercer County,5.4
2014,October,New Jersey,Morris County,4.8
2014,October,New Jersey,Warren County,5.7
2014,October,New Jersey,Camden County,7.0
2014,October,New Jersey,Cape May County,10.7
2014,March,New Jersey,Hudson County,6.8
2014,March,New Jersey,Salem County,9.3
2014,March,New Jersey,Gloucester County,8.0
2014,March,New Jersey,Burlington County,6.9
2014,March,New Jersey,Cumberland County,11.4
2014,March,New Jersey,Union County,7.5
2014,March,New Jersey,Hunterdon County,5.4
2014,March,New Jersey,Sussex County,7.4
2014,March,New Jersey,Passaic County,9.1
2014,March,New Jersey,Essex County,8.6
2014,March,New Jersey,Middlesex County,6.6
2014,March,New Jersey,Atlantic County,11.5
2014,March,New Jersey,Bergen County,5.8
2014,March,New Jersey,Somerset County,5.6
2014,March,New Jersey,Monmouth County,6.7
2014,March,New Jersey,Ocean County,8.4
2014,March,New Jersey,Mercer County,6.3
2014,March,New Jersey,Morris County,5.5
2014,March,New Jersey,Warren County,7.2
2014,March,New Jersey,Camden County,8.3
2014,March,New Jersey,Cape May County,17.5
2014,August,New Jersey,Hudson County,6.5
2014,August,New Jersey,Salem County,8.4
2014,August,New Jersey,Gloucester County,7.5
2014,August,New Jersey,Burlington County,6.7
2014,August,New Jersey,Cumberland County,9.8
2014,August,New Jersey,Union County,6.9
2014,August,New Jersey,Hunterdon County,4.9
2014,August,New Jersey,Sussex County,6.3
2014,August,New Jersey,Passaic County,8.4
2014,August,New Jersey,Essex County,8.1
2014,August,New Jersey,Middlesex County,6.2
2014,August,New Jersey,Atlantic County,9.1
