ZIP Code 2,City,County,Type
07001,Avenel,Middlesex,Standard
07002,Bayonne,Hudson,Standard
07003,Bloomfield,Essex,Standard
07004,Fairfield,Essex,Standard
07005,Boonton,Morris,Standard
07006,Caldwell,Essex,Standard
07007,Caldwell,Essex,P.O. Box
07008,Carteret,Middlesex,Standard
07009,Cedar Grove,Essex,Standard
07010,Cliffside Park,Bergen,Standard
07011,Clifton,Passaic,Standard
07012,Clifton,Passaic,Standard
07013,Clifton,Passaic,Standard
07014,Clifton,Passaic,Standard
07015,Clifton,Passaic,P.O. Box
07016,Cranford,Union,Standard
07017,East Orange,Essex,Standard
07018,East Orange,Essex,Standard
07019,East Orange,Essex,P.O. Box
07020,Edgewater,Bergen,Standard
07021,Essex Fells,Essex,Standard
07022,Fairview,Bergen,Standard
07023,Fanwood,Union,Standard
07024,Fort Lee,Bergen,Standard
07026,Garfield,Bergen,Standard
07027,Garwood,Union,Standard
07028,Glen Ridge,Essex,Standard
07029,Harrison,Hudson,Standard
07030,Hoboken,Hudson,Standard
07031,North Arlington,Bergen,Standard
07032,Kearny,Hudson,Standard
07033,Kenilworth,Union,Standard
07034,Lake Hiawatha,Morris,Standard
07035,Lincoln Park,Morris,Standard
07036,Linden,Union,Standard
07039,Livingston,Essex,Standard
07040,Maplewood,Essex,Standard
07041,Millburn,Essex,Standard
07042,Montclair,Essex,Standard
07043,Montclair,Essex,Standard
07044,Verona,Essex,Standard
07045,Montville,Morris,Standard
07046,Mountain Lakes,Morris,Standard
07047,North Bergen,Hudson,Standard
07050,Orange,Essex,Standard
07051,Orange,Essex,P.O. Box
07052,West Orange,Essex,Standard
07054,Parsippany,Morris,Standard
07055,Passaic,Passaic,Standard
07057,Wallington,Bergen,Standard
07058,Pine Brook,Morris,Standard
07059,Warren,Somerset,Standard
07060,Plainfield,Union,Standard
07061,Plainfield,Union,P.O. Box
07062,Plainfield,Union,Standard
07063,Plainfield,Union,Standard
07064,Port Reading,Middlesex,Standard
07065,Rahway,Union,Standard
07066,Clark,Union,Standard
07067,Colonia,Middlesex,Standard
07068,Roseland,Essex,Standard
07069,Watchung,Somerset,Standard
07070,Rutherford,Bergen,Standard
07071,Lyndhurst,Bergen,Standard
07072,Carlstadt,Bergen,Standard
07073,East Rutherford,Bergen,Standard
07074,Moonachie,Bergen,Standard
07075,Wood Ridge,Bergen,Standard
07076,Scotch Plains,Union,Standard
07077,Sewaren,Middlesex,Standard
07078,Short Hills,Essex,Standard
07079,South Orange,Essex,Standard
07080,South Plainfield,Middlesex,Standard
07081,Springfield,Union,Standard
07082,Towaco,Morris,Standard
07083,Union,Union,Standard
07086,Weehawken,Hudson,Standard
07087,Union City,Hudson,Standard
07088,Vauxhall,Union,Standard
07090,Westfield,Union,Standard
07091,Westfield,Union,P.O. Box
07092,Mountainside,Union,Standard
07093,West New York,Hudson,Standard
07094,Secaucus,Hudson,Standard
07095,Woodbridge,Middlesex,Standard
07096,Secaucus,Hudson,P.O. Box
07097,Jersey City,Hudson,Unique
07099,Kearny,Hudson,Unique
07101,Newark,Essex,P.O. Box
07102,Newark,Essex,Standard
07103,Newark,Essex,Standard
07104,Newark,Essex,Standard
07105,Newark,Essex,Standard
07106,Newark,Essex,Standard
07107,Newark,Essex,Standard
07108,Newark,Essex,Standard
07109,Belleville,Essex,Standard
07110,Nutley,Essex,Standard
07111,Irvington,Essex,Standard
07112,Newark,Essex,Standard
07114,Newark,Essex,Standard
07175,Newark,Essex,Unique
07184,Newark,Essex,Unique
07188,Newark,Essex,Unique
07189,Newark,Essex,Unique
07191,Newark,Essex,Unique
07192,Newark,Essex,Unique
07193,Newark,Essex,Unique
07195,Newark,Essex,Unique
07198,Newark,Essex,Unique
07199,Newark,Essex,Unique
07201,Elizabeth,Union,Standard
07202,Elizabeth,Union,Standard
07203,Roselle,Union,Standard
07204,Roselle Park,Union,Standard
07205,Hillside,Union,Standard
07206,Elizabethport,Union,Standard
07207,Elizabeth,Union,P.O. Box
07208,Elizabeth,Union,Standard
07302,Jersey City,Hudson,Standard
07303,Jersey City,Hudson,P.O. Box
07304,Jersey City,Hudson,Standard
07305,Jersey City,Hudson,Standard
07306,Jersey City,Hudson,Standard
07307,Jersey City,Hudson,Standard
07308,Jersey City,Hudson,P.O. Box
07310,Jersey City,Hudson,Standard
07311,Jersey City,Hudson,Standard
07395,Jersey City,Hudson,Unique
07399,Jersey City,Hudson,Unique
07401,Allendale,Bergen,Standard
07403,Bloomingdale,Passaic,Standard
07405,Butler,Morris,Standard
07407,Elmwood Park,Bergen,Standard
07410,Fair Lawn,Bergen,Standard
07416,Franklin,Sussex,Standard
07417,Franklin Lakes,Bergen,Standard
07418,Glenwood,Sussex,Standard
07419,Hamburg,Sussex,Standard
07420,Haskell,Passaic,Standard
07421,Hewitt,Passaic,Standard
07422,Highland Lakes,Sussex,Standard
07423,Ho Ho Kus,Bergen,Standard
07424,Little Falls,Passaic,Standard
07428,Mc Afee,Sussex,P.O. Box
07430,Mahwah,Bergen,Standard
07432,Midland Park,Bergen,Standard
07435,Newfoundland,Passaic,Standard
07436,Oakland,Bergen,Standard
07438,Oak Ridge,Passaic,Standard
07439,Ogdensburg,Sussex,Standard
07440,Pequannock,Morris,Standard
07442,Pompton Lakes,Passaic,Standard
07444,Pompton Plains,Morris,Standard
07446,Ramsey,Bergen,Standard
07450,Ridgewood,Bergen,Standard
07451,Ridgewood,Bergen,P.O. Box
07452,Glen Rock,Bergen,Standard
07456,Ringwood,Passaic,Standard
07457,Riverdale,Morris,Standard
07458,Saddle River,Bergen,Standard
07460,Stockholm,Sussex,Standard
07461,Sussex,Sussex,Standard
07462,Vernon,Sussex,Standard
07463,Waldwick,Bergen,Standard
07465,Wanaque,Passaic,Standard
07470,Wayne,Passaic,Standard
07474,Wayne,Passaic,P.O. Box
07480,West Milford,Passaic,Standard
07481,Wyckoff,Bergen,Standard
07495,Mahwah,Bergen,Standard
07501,Paterson,Passaic,Standard
07502,Paterson,Passaic,Standard
07503,Paterson,Passaic,Standard
07504,Paterson,Passaic,Standard
07505,Paterson,Passaic,Standard
07506,Hawthorne,Passaic,Standard
07507,Hawthorne,Passaic,P.O. Box
07508,Haledon,Passaic,Standard
07509,Paterson,Passaic,P.O. Box
07510,Paterson,Passaic,Standard
07511,Totowa,Passaic,P.O. Box
07512,Totowa,Passaic,Standard
07513,Paterson,Passaic,Standard
07514,Paterson,Passaic,Standard
07522,Paterson,Passaic,Standard
07524,Paterson,Passaic,Standard
07533,Paterson,Passaic,P.O. Box
07538,Haledon,Passaic,P.O. Box
07543,Paterson,Passaic,P.O. Box
07544,Paterson,Passaic,P.O. Box
07601,Hackensack,Bergen,Standard
07602,Hackensack,Bergen,P.O. Box
07603,Bogota,Bergen,Standard
07604,Hasbrouck Heights,Bergen,Standard
07605,Leonia,Bergen,Standard
07606,South Hackensack,Bergen,Standard
07607,Maywood,Bergen,Standard
07608,Teterboro,Bergen,Standard
07620,Alpine,Bergen,P.O. Box
07621,Bergenfield,Bergen,Standard
07624,Closter,Bergen,Standard
07626,Cresskill,Bergen,Standard
07627,Demarest,Bergen,Standard
07628,Dumont,Bergen,Standard
07630,Emerson,Bergen,Standard
07631,Englewood,Bergen,Standard
07632,Englewood Cliffs,Bergen,Standard
07640,Harrington Park,Bergen,Standard
07641,Haworth,Bergen,Standard
07642,Hillsdale,Bergen,Standard
07643,Little Ferry,Bergen,Standard
07644,Lodi,Bergen,Standard
07645,Montvale,Bergen,Standard
07646,New Milford,Bergen,Standard
07647,Northvale,Bergen,Standard
07648,Norwood,Bergen,Standard
07649,Oradell,Bergen,Standard
07650,Palisades Park,Bergen,Standard
07652,Paramus,Bergen,Standard
07653,Paramus,Bergen,P.O. Box
07656,Park Ridge,Bergen,Standard
07657,Ridgefield,Bergen,Standard
07660,Ridgefield Park,Bergen,Standard
07661,River Edge,Bergen,Standard
07662,Rochelle Park,Bergen,Standard
07663,Saddle Brook,Bergen,Standard
07666,Teaneck,Bergen,Standard
07670,Tenafly,Bergen,Standard
07675,Westwood,Bergen,Standard
07676,Township Of Washington,Bergen,Standard
07677,Woodcliff Lake,Bergen,Standard
07699,Teterboro,Bergen,Unique
07701,Red Bank,Monmouth,Standard
07702,Shrewsbury,Monmouth,Standard
07703,Fort Monmouth,Monmouth,Standard
