,actual,cleared,data_year,offense,ori,state_abbr
0,13,5,2017,aggravated-assault,NJ0012100,NJ
1,2,2,2017,aggravated-assault,NJ0012200,NJ
2,0,0,2017,aggravated-assault,NJ0012400,NJ
3,28,11,2017,aggravated-assault,NJ001SP00,NJ
4,3,2,2017,aggravated-assault,NJ0020000,NJ
5,0,0,2017,aggravated-assault,NJ0020100,NJ
6,0,0,2017,aggravated-assault,NJ0020200,NJ
7,0,0,2017,aggravated-assault,NJ0020300,NJ
8,0,0,2017,aggravated-assault,NJ0020400,NJ
9,9,6,2017,aggravated-assault,NJ0020500,NJ
10,12,12,2017,aggravated-assault,NJ0020600,NJ
11,0,0,2017,aggravated-assault,NJ0020700,NJ
12,2,1,2017,aggravated-assault,NJ0020800,NJ
13,1,1,2017,aggravated-assault,NJ0020900,NJ
14,3,2,2017,aggravated-assault,NJ0021000,NJ
15,6,5,2017,aggravated-assault,NJ0021100,NJ
16,10,8,2017,aggravated-assault,NJ0021200,NJ
17,6,6,2017,aggravated-assault,NJ0021300,NJ
18,2,2,2017,aggravated-assault,NJ0021400,NJ
19,38,20,2017,aggravated-assault,NJ0021500,NJ
0,3,3,2017,aggravated-assault,NJ0023500,NJ
1,0,0,2017,aggravated-assault,NJ0023600,NJ
2,1,0,2017,aggravated-assault,NJ0023700,NJ
3,0,0,2017,aggravated-assault,NJ0023800,NJ
4,10,7,2017,aggravated-assault,NJ0023900,NJ
5,0,0,2017,aggravated-assault,NJ0024000,NJ
6,0,0,2017,aggravated-assault,NJ0024100,NJ
7,7,6,2017,aggravated-assault,NJ0024200,NJ
8,0,0,2017,aggravated-assault,NJ0024300,NJ
9,1,1,2017,aggravated-assault,NJ0024400,NJ
10,9,8,2017,aggravated-assault,NJ0024500,NJ
11,6,5,2017,aggravated-assault,NJ0024600,NJ
12,1,0,2017,aggravated-assault,NJ0024700,NJ
13,3,3,2017,aggravated-assault,NJ0024800,NJ
14,1,1,2017,aggravated-assault,NJ0024900,NJ
15,7,8,2017,aggravated-assault,NJ0025000,NJ
16,4,2,2017,aggravated-assault,NJ0025100,NJ
17,0,0,2017,aggravated-assault,NJ0025200,NJ
18,0,0,2017,aggravated-assault,NJ0025300,NJ
19,1,0,2017,aggravated-assault,NJ0025400,NJ
0,16,11,2017,aggravated-assault,NJ0032500,NJ
1,0,0,2017,aggravated-assault,NJ0032600,NJ
2,3,3,2017,aggravated-assault,NJ0032700,NJ
3,7,5,2017,aggravated-assault,NJ0032800,NJ
4,1,1,2017,aggravated-assault,NJ0032900,NJ
5,73,25,2017,aggravated-assault,NJ0033000,NJ
6,9,9,2017,aggravated-assault,NJ0033100,NJ
7,0,0,2017,aggravated-assault,NJ0033200,NJ
8,0,0,2017,aggravated-assault,NJ0033500,NJ
9,10,5,2017,aggravated-assault,NJ0033800,NJ
10,21,9,2017,aggravated-assault,NJ003SP00,NJ
11,1,1,2017,aggravated-assault,NJ0040000,NJ
12,3,3,2017,aggravated-assault,NJ0040100,NJ
13,0,0,2017,aggravated-assault,NJ0040200,NJ
14,2,1,2017,aggravated-assault,NJ0040300,NJ
15,3,1,2017,aggravated-assault,NJ0040400,NJ
16,9,7,2017,aggravated-assault,NJ0040500,NJ
17,5,3,2017,aggravated-assault,NJ0040600,NJ
18,9,9,2017,aggravated-assault,NJ0040700,NJ
19,954,421,2017,aggravated-assault,NJ0040800,NJ
0,140,69,2017,aggravated-assault,NJ0070900,NJ
1,3,2,2017,aggravated-assault,NJ0071000,NJ
2,14,11,2017,aggravated-assault,NJ0071100,NJ
3,0,0,2017,aggravated-assault,NJ0071200,NJ
4,29,21,2017,aggravated-assault,NJ0071300,NJ
5,2,1,2017,aggravated-assault,NJ0071500,NJ
6,12,8,2017,aggravated-assault,NJ0071600,NJ
7,81,34,2017,aggravated-assault,NJ0071700,NJ
8,1,1,2017,aggravated-assault,NJ0071800,NJ
9,9,9,2017,aggravated-assault,NJ0071900,NJ
10,3,2,2017,aggravated-assault,NJ0072000,NJ
11,6,5,2017,aggravated-assault,NJ0072100,NJ
12,52,43,2017,aggravated-assault,NJ0072200,NJ
13,1,1,2017,aggravated-assault,NJ0072700,NJ
14,2,2,2017,aggravated-assault,NJ0072800,NJ
15,5,5,2017,aggravated-assault,NJ0073000,NJ
16,2,2,2017,aggravated-assault,NJ0073100,NJ
17,24,21,2017,aggravated-assault,NJ0073200,NJ
18,9,3,2017,aggravated-assault,NJ007SP00,NJ
19,1,0,2017,aggravated-assault,NJ0080000,NJ
0,22,14,2017,aggravated-assault,NJ0120100,NJ
1,0,0,2017,aggravated-assault,NJ0120200,NJ
2,4,4,2017,aggravated-assault,NJ0120300,NJ
3,13,10,2017,aggravated-assault,NJ0120400,NJ
4,58,37,2017,aggravated-assault,NJ0120500,NJ
5,1,1,2017,aggravated-assault,NJ0120600,NJ
6,3,2,2017,aggravated-assault,NJ0120700,NJ
7,5,4,2017,aggravated-assault,NJ0120800,NJ
8,31,20,2017,aggravated-assault,NJ0120900,NJ
9,6,4,2017,aggravated-assault,NJ0121000,NJ
10,3,3,2017,aggravated-assault,NJ0121100,NJ
11,3,2,2017,aggravated-assault,NJ0121200,NJ
12,3,3,2017,aggravated-assault,NJ0121300,NJ
13,143,50,2017,aggravated-assault,NJ0121400,NJ
14,25,18,2017,aggravated-assault,NJ0121500,NJ
15,108,70,2017,aggravated-assault,NJ0121600,NJ
16,27,16,2017,aggravated-assault,NJ0121700,NJ
17,8,6,2017,aggravated-assault,NJ0121800,NJ
18,18,9,2017,aggravated-assault,NJ0121900,NJ
19,0,0,2017,aggravated-assault,NJ0122000,NJ
0,3,2,2017,aggravated-assault,NJ014SP00,NJ
1,0,0,2017,aggravated-assault,NJ0150000,NJ
2,1,0,2017,aggravated-assault,NJ0150100,NJ
3,0,0,2017,aggravated-assault,NJ0150200,NJ
4,1,1,2017,aggravated-assault,NJ0150300,NJ
5,1,1,2017,aggravated-assault,NJ0150400,NJ
6,9,4,2017,aggravated-assault,NJ0150500,NJ
7,58,53,2017,aggravated-assault,NJ0150600,NJ
8,32,18,2017,aggravated-assault,NJ0150700,NJ
9,1,1,2017,aggravated-assault,NJ0150900,NJ
10,0,0,2017,aggravated-assault,NJ0151000,NJ
11,14,6,2017,aggravated-assault,NJ0151100,NJ
12,14,11,2017,aggravated-assault,NJ0151200,NJ
13,0,0,2017,aggravated-assault,NJ0151300,NJ
14,60,47,2017,aggravated-assault,NJ0151400,NJ
15,0,0,2017,aggravated-assault,NJ0151500,NJ
16,2,2,2017,aggravated-assault,NJ0151600,NJ
17,2,0,2017,aggravated-assault,NJ0151700,NJ
18,9,5,2017,aggravated-assault,NJ0151800,NJ
19,0,0,2017,aggravated-assault,NJ0151900,NJ
0,1,0,2017,aggravated-assault,NJ0010000,NJ
1,3,3,2017,aggravated-assault,NJ0010100,NJ
2,161,44,2017,aggravated-assault,NJ0010200,NJ
3,2,2,2017,aggravated-assault,NJ0010300,NJ
4,7,3,2017,aggravated-assault,NJ0010400,NJ
5,7,4,2017,aggravated-assault,NJ0010700,NJ
6,40,35,2017,aggravated-assault,NJ0010800,NJ
7,58,31,2017,aggravated-assault,NJ0011100,NJ
8,22,14,2017,aggravated-assault,NJ0011200,NJ
9,14,11,2017,aggravated-assault,NJ0011300,NJ
10,1,1,2017,aggravated-assault,NJ0011400,NJ
11,2,1,2017,aggravated-assault,NJ0011500,NJ
12,3,3,2017,aggravated-assault,NJ0011600,NJ
13,3,3,2017,aggravated-assault,NJ0011700,NJ
14,0,0,2017,aggravated-assault,NJ0011800,NJ
15,61,26,2017,aggravated-assault,NJ0011900,NJ
16,13,5,2017,aggravated-assault,NJ0012100,NJ
17,2,2,2017,aggravated-assault,NJ0012200,NJ
18,0,0,2017,aggravated-assault,NJ0012400,NJ
19,28,11,2017,aggravated-assault,NJ001SP00,NJ
0,1,0,2017,aggravated-assault,NJ0043300,NJ
1,39,24,2017,aggravated-assault,NJ0043400,NJ
2,2,1,2017,aggravated-assault,NJ0043500,NJ
3,19,17,2017,aggravated-assault,NJ0043600,NJ
4,5,0,2017,aggravated-assault,NJ0043700,NJ
5,2,1,2017,aggravated-assault,NJ0043900,NJ
6,9,4,2017,aggravated-assault,NJ004SP00,NJ
7,0,0,2017,aggravated-assault,NJ0050000,NJ
8,1,0,2017,aggravated-assault,NJ0050100,NJ
9,0,0,2017,aggravated-assault,NJ0050200,NJ
10,0,0,2017,aggravated-assault,NJ0050300,NJ
11,24,20,2017,aggravated-assault,NJ0050500,NJ
12,24,16,2017,aggravated-assault,NJ0050600,NJ
13,7,5,2017,aggravated-assault,NJ0050700,NJ
14,6,6,2017,aggravated-assault,NJ0050800,NJ
15,1,1,2017,aggravated-assault,NJ0050900,NJ
16,0,0,2017,aggravated-assault,NJ0051000,NJ
17,0,0,2017,aggravated-assault,NJ0051200,NJ
18,2,2,2017,aggravated-assault,NJ0051300,NJ
19,46,18,2017,aggravated-assault,NJ0051400,NJ
0,0,0,2017,aggravated-assault,NJ0132400,NJ
1,44,28,2017,aggravated-assault,NJ0132500,NJ
2,8,6,2017,aggravated-assault,NJ0132600,NJ
3,4,3,2017,aggravated-assault,NJ0132700,NJ
4,7,4,2017,aggravated-assault,NJ0132800,NJ
5,0,0,2017,aggravated-assault,NJ0132900,NJ
6,10,8,2017,aggravated-assault,NJ0133000,NJ
7,33,28,2017,aggravated-assault,NJ0133100,NJ
8,5,4,2017,aggravated-assault,NJ0133300,NJ
9,106,37,2017,aggravated-assault,NJ0133400,NJ
10,8,3,2017,aggravated-assault,NJ0133500,NJ
11,2,1,2017,aggravated-assault,NJ0133600,NJ
12,13,11,2017,aggravated-assault,NJ0133700,NJ
13,1,1,2017,aggravated-assault,NJ0133800,NJ
14,7,3,2017,aggravated-assault,NJ0133900,NJ
15,10,3,2017,aggravated-assault,NJ0134000,NJ
16,0,0,2017,aggravated-assault,NJ0134200,NJ
17,0,0,2017,aggravated-assault,NJ0134300,NJ
18,1,0,2017,aggravated-assault,NJ0134400,NJ
19,1,1,2017,aggravated-assault,NJ0134500,NJ
0,11,8,2017,aggravated-assault,NJ0211900,NJ
1,0,0,2017,aggravated-assault,NJ0212000,NJ
2,3,3,2017,aggravated-assault,NJ0212100,NJ
3,5,5,2017,aggravated-assault,NJ0212200,NJ
4,4,1,2017,aggravated-assault,NJ021SP00,NJ
5,1280,304,2017,aggravated-assault,NJNPD0000,NJ
6,1,1,2017,aggravated-assault,NJNPIPP00,NJ
7,12,7,2017,aggravated-assault,NJNYPOA00,NJ
8,1,0,2017,aggravated-assault,NJ0010000,NJ
9,3,3,2017,aggravated-assault,NJ0010100,NJ
10,161,44,2017,aggravated-assault,NJ0010200,NJ
11,2,2,2017,aggravated-assault,NJ0010300,NJ
12,7,3,2017,aggravated-assault,NJ0010400,NJ
13,7,4,2017,aggravated-assault,NJ0010700,NJ
14,40,35,2017,aggravated-assault,NJ0010800,NJ
15,58,31,2017,aggravated-assault,NJ0011100,NJ
16,22,14,2017,aggravated-assault,NJ0011200,NJ
17,14,11,2017,aggravated-assault,NJ0011300,NJ
18,1,1,2017,aggravated-assault,NJ0011400,NJ
19,2,1,2017,aggravated-assault,NJ0011500,NJ
0,9,3,2017,aggravated-assault,NJ007SP00,NJ
1,1,0,2017,aggravated-assault,NJ0080000,NJ
2,5,4,2017,aggravated-assault,NJ0080100,NJ
3,30,16,2017,aggravated-assault,NJ0080200,NJ
4,6,2,2017,aggravated-assault,NJ0080300,NJ
5,5,5,2017,aggravated-assault,NJ0080400,NJ
6,11,8,2017,aggravated-assault,NJ0080500,NJ
7,4,2,2017,aggravated-assault,NJ0080600,NJ
8,3,0,2017,aggravated-assault,NJ0080700,NJ
9,3,2,2017,aggravated-assault,NJ0080800,NJ
10,1,1,2017,aggravated-assault,NJ0080900,NJ
11,10,11,2017,aggravated-assault,NJ0081000,NJ
12,21,17,2017,aggravated-assault,NJ0081100,NJ
13,4,4,2017,aggravated-assault,NJ0081200,NJ
14,0,0,2017,aggravated-assault,NJ0081300,NJ
15,14,8,2017,aggravated-assault,NJ0081400,NJ
16,-1,3,2017,aggravated-assault,NJ0081500,NJ
17,0,0,2017,aggravated-assault,NJ0081600,NJ
18,0,0,2017,aggravated-assault,NJ0081700,NJ
19,33,30,2017,aggravated-assault,NJ0081800,NJ
0,2,2,2017,aggravated-assault,NJ0161100,NJ
1,5,5,2017,aggravated-assault,NJ0161200,NJ
2,4,2,2017,aggravated-assault,NJ0161300,NJ
3,19,12,2017,aggravated-assault,NJ0161400,NJ
4,21,14,2017,aggravated-assault,NJ0161500,NJ
5,12,11,2017,aggravated-assault,NJ0161600,NJ
6,0,0,2017,aggravated-assault,NJ0161700,NJ
7,0,0,2017,aggravated-assault,NJ016SP00,NJ
8,1,1,2017,aggravated-assault,NJ0170000,NJ
9,0,0,2017,aggravated-assault,NJ0170200,NJ
10,1,1,2017,aggravated-assault,NJ0170300,NJ
11,1,0,2017,aggravated-assault,NJ0170400,NJ
12,9,8,2017,aggravated-assault,NJ0170500,NJ
13,20,12,2017,aggravated-assault,NJ0170800,NJ
14,39,7,2017,aggravated-assault,NJ0171200,NJ
15,8,6,2017,aggravated-assault,NJ0171300,NJ
16,1,1,2017,aggravated-assault,NJ0171500,NJ
17,18,11,2017,aggravated-assault,NJ017SP00,NJ
18,1,1,2017,aggravated-assault,NJ0180000,NJ
19,1,1,2017,aggravated-assault,NJ0180100,NJ
0,1,0,2017,aggravated-assault,NJ0050100,NJ
1,0,0,2017,aggravated-assault,NJ0050200,NJ
2,0,0,2017,aggravated-assault,NJ0050300,NJ
3,24,20,2017,aggravated-assault,NJ0050500,NJ
4,24,16,2017,aggravated-assault,NJ0050600,NJ
5,7,5,2017,aggravated-assault,NJ0050700,NJ
6,6,6,2017,aggravated-assault,NJ0050800,NJ
7,1,1,2017,aggravated-assault,NJ0050900,NJ
8,0,0,2017,aggravated-assault,NJ0051000,NJ
9,0,0,2017,aggravated-assault,NJ0051200,NJ
10,2,2,2017,aggravated-assault,NJ0051300,NJ
11,46,18,2017,aggravated-assault,NJ0051400,NJ
12,7,7,2017,aggravated-assault,NJ0051500,NJ
13,12,11,2017,aggravated-assault,NJ005SP00,NJ
14,0,0,2017,aggravated-assault,NJ0060000,NJ
15,98,21,2017,aggravated-assault,NJ0060100,NJ
16,103,42,2017,aggravated-assault,NJ0061000,NJ
17,179,99,2017,aggravated-assault,NJ0061400,NJ
18,41,29,2017,aggravated-assault,NJ006SP00,NJ
19,43,7,2017,aggravated-assault,NJ0070000,NJ
0,2,4,2017,aggravated-assault,NJ0160400,NJ
1,17,15,2017,aggravated-assault,NJ0160500,NJ
2,0,0,2017,aggravated-assault,NJ0160600,NJ
3,214,65,2017,aggravated-assault,NJ0160700,NJ
4,474,156,2017,aggravated-assault,NJ0160800,NJ
5,10,6,2017,aggravated-assault,NJ0160900,NJ
6,2,0,2017,aggravated-assault,NJ0161000,NJ
7,2,2,2017,aggravated-assault,NJ0161100,NJ
8,5,5,2017,aggravated-assault,NJ0161200,NJ
9,4,2,2017,aggravated-assault,NJ0161300,NJ
10,19,12,2017,aggravated-assault,NJ0161400,NJ
11,21,14,2017,aggravated-assault,NJ0161500,NJ
12,12,11,2017,aggravated-assault,NJ0161600,NJ
13,0,0,2017,aggravated-assault,NJ0161700,NJ
14,0,0,2017,aggravated-assault,NJ016SP00,NJ
15,1,1,2017,aggravated-assault,NJ0170000,NJ
16,0,0,2017,aggravated-assault,NJ0170200,NJ
17,1,1,2017,aggravated-assault,NJ0170300,NJ
18,1,0,2017,aggravated-assault,NJ0170400,NJ
19,9,8,2017,aggravated-assault,NJ0170500,NJ
0,2,1,2017,aggravated-assault,NJ0071500,NJ
1,12,8,2017,aggravated-assault,NJ0071600,NJ
2,81,34,2017,aggravated-assault,NJ0071700,NJ
3,1,1,2017,aggravated-assault,NJ0071800,NJ
4,9,9,2017,aggravated-assault,NJ0071900,NJ
5,3,2,2017,aggravated-assault,NJ0072000,NJ
6,6,5,2017,aggravated-assault,NJ0072100,NJ
7,52,43,2017,aggravated-assault,NJ0072200,NJ
8,1,1,2017,aggravated-assault,NJ0072700,NJ
9,2,2,2017,aggravated-assault,NJ0072800,NJ
10,5,5,2017,aggravated-assault,NJ0073000,NJ
11,2,2,2017,aggravated-assault,NJ0073100,NJ
12,24,21,2017,aggravated-assault,NJ0073200,NJ
13,9,3,2017,aggravated-assault,NJ007SP00,NJ
14,1,0,2017,aggravated-assault,NJ0080000,NJ
15,5,4,2017,aggravated-assault,NJ0080100,NJ
16,30,16,2017,aggravated-assault,NJ0080200,NJ
17,6,2,2017,aggravated-assault,NJ0080300,NJ
18,5,5,2017,aggravated-assault,NJ0080400,NJ
19,11,8,2017,aggravated-assault,NJ0080500,NJ
0,5,4,2017,aggravated-assault,NJ0201700,NJ
1,0,0,2017,aggravated-assault,NJ0201800,NJ
2,34,17,2017,aggravated-assault,NJ0201900,NJ
3,2,0,2017,aggravated-assault,NJ0202000,NJ
4,0,0,2017,aggravated-assault,NJ0202100,NJ
5,0,0,2017,aggravated-assault,NJ0202400,NJ
6,27,12,2017,aggravated-assault,NJ0209100,NJ
7,4,0,2017,aggravated-assault,NJ020SP00,NJ
8,1,1,2017,aggravated-assault,NJ0210200,NJ
9,3,1,2017,aggravated-assault,NJ0210300,NJ
10,0,0,2017,aggravated-assault,NJ0210400,NJ
11,1,1,2017,aggravated-assault,NJ0210700,NJ
12,2,2,2017,aggravated-assault,NJ0210800,NJ
13,3,3,2017,aggravated-assault,NJ0211200,NJ
14,1,1,2017,aggravated-assault,NJ0211500,NJ
15,2,2,2017,aggravated-assault,NJ0211600,NJ
16,0,0,2017,aggravated-assault,NJ0211700,NJ
17,11,8,2017,aggravated-assault,NJ0211900,NJ
18,0,0,2017,aggravated-assault,NJ0212000,NJ
19,3,3,2017,aggravated-assault,NJ0212100,NJ
0,3,3,2017,aggravated-assault,NJ0130000,NJ
1,0,0,2017,aggravated-assault,NJ0130100,NJ
2,0,0,2017,aggravated-assault,NJ0130200,NJ
3,114,46,2017,aggravated-assault,NJ0130300,NJ
4,5,4,2017,aggravated-assault,NJ0130400,NJ
5,1,2,2017,aggravated-assault,NJ0130500,NJ
6,0,0,2017,aggravated-assault,NJ0130600,NJ
7,5,3,2017,aggravated-assault,NJ0130700,NJ
8,3,3,2017,aggravated-assault,NJ0130800,NJ
9,2,1,2017,aggravated-assault,NJ0130900,NJ
10,2,2,2017,aggravated-assault,NJ0131000,NJ
11,14,8,2017,aggravated-assault,NJ0131100,NJ
12,8,7,2017,aggravated-assault,NJ0131200,NJ
13,0,0,2017,aggravated-assault,NJ0131300,NJ
14,6,4,2017,aggravated-assault,NJ0131500,NJ
15,32,9,2017,aggravated-assault,NJ0131600,NJ
16,2,2,2017,aggravated-assault,NJ0131700,NJ
17,5,5,2017,aggravated-assault,NJ0131800,NJ
18,21,20,2017,aggravated-assault,NJ0131900,NJ
19,0,0,2017,aggravated-assault,NJ0132000,NJ
0,9,7,2017,aggravated-assault,NJ0040500,NJ
1,5,3,2017,aggravated-assault,NJ0040600,NJ
2,9,9,2017,aggravated-assault,NJ0040700,NJ
3,954,421,2017,aggravated-assault,NJ0040800,NJ
4,2,1,2017,aggravated-assault,NJ0040900,NJ
5,8,6,2017,aggravated-assault,NJ0041000,NJ
6,10,8,2017,aggravated-assault,NJ0041100,NJ
7,51,49,2017,aggravated-assault,NJ0041200,NJ
8,1,1,2017,aggravated-assault,NJ0041300,NJ
9,13,10,2017,aggravated-assault,NJ0041400,NJ
10,59,47,2017,aggravated-assault,NJ0041500,NJ
11,7,5,2017,aggravated-assault,NJ0041600,NJ
12,2,2,2017,aggravated-assault,NJ0041700,NJ
13,2,2,2017,aggravated-assault,NJ0041800,NJ
14,3,3,2017,aggravated-assault,NJ0041900,NJ
15,0,0,2017,aggravated-assault,NJ0042000,NJ
16,7,4,2017,aggravated-assault,NJ0042100,NJ
17,56,38,2017,aggravated-assault,NJ0042200,NJ
18,4,4,2017,aggravated-assault,NJ0042300,NJ
19,8,8,2017,aggravated-assault,NJ0042400,NJ
0,78,40,2017,aggravated-assault,NJ0200900,NJ
1,1,0,2017,aggravated-assault,NJ0201000,NJ
2,0,0,2017,aggravated-assault,NJ0201100,NJ
3,129,32,2017,aggravated-assault,NJ0201200,NJ
4,20,17,2017,aggravated-assault,NJ0201300,NJ
5,18,16,2017,aggravated-assault,NJ0201400,NJ
